Job_Title,Job_Description,Job_Url
PROGRAMADOR DE SOFTWARE .NET,https://www.occ.com.mx/empleos/de-software-developer/en-Mexico/?page=1&jobid=18396746,"Descripción
PROGRAMADOR DE SOFTWARE .NET

*Nombre de la empresa:
Paradox Technologies

Empresa mexicana del sector Informática dedicada al desarrollo de software con más de 16 años de experiencia en la industria de medios de pagos electrónicos. 
Empresa joven y a su vez sólida en el medio teniendo clientes a nivel Latinoamérica.


*Carreras solicitadas:
Ingeniería en Computación, Electrónica, Mecatrónica o afín.

*Nombre del puesto:
Ingeniero de Desarrollo de Software.

*Funciones del puesto:

Analizar y trabajar con bases de código existentes
Recibir documentos de Visión y Alcance.
Desarrollar soluciones de aplicación para terminales punto de venta y/o escritorio y cliente - servidor.
Proponer alternativas, soluciones y aclaración de dudas según las necesidades del proyecto.
Analizar el Documento de Visión y Alcance Final.
Armar propuestas de solución para el Project Manager.
Identificar dependencias y requerimientos de pruebas: Tarjetas, simuladores, documentación, capacitación, ambientes de pruebas, etc.
Mantenimiento de Aplicaciones (Corrección Incidencias).
Soporte durante certificación de aplicación.
Corrección de incidencias piloto o producción.
Creación y modificación de manuales desarrollo.

*Sexo:
Indiferente

*Edad:
24 - 38 años

*Conocimientos:

Lenguaje .NET
Lenguaje Java, Kotlin (Deseable).
Lenguaje C (Deseable)
Programación orientada a objetos.
Programación estructurada (Deseable)
Manejo de memoria dinámica (Deseable)
Android Studio (Deseable)
Framework ASP .NET MVC (Deseable)
.NET Core (Deseable)
Base de Datos SQL
Debuggeo y depuración de código.
Web API(REST y SOAP).
SLQ Server.
SQL Client.
Gestión de CRUD´s.
Conocimiento en WPF (deseable)


* Habilidades:

Alta capacidad de análisis y resolver retos técnicos.
Fluidez con lenguaje técnico.
Alto sentido de responsabilidad.
Interés en desarrollo sobre sistemas embebidos.
Interés en desarrollo sobre aplicaciones Cliente-Servidor.
Gusto por resolver retos técnicos.
Habilidad de trabajar en equipo.
Disponibilidad para aprender nuevos lenguajes de programación / habilidades.
Proactividad.
Capacidad de autoaprendizaje.

*Experiencia:

6 meses a 1 año (Deseable).

*Zona de trabajo:

Ciudad de México, Zona Sur – Tlalpan.

*Horario de trabajo:

Lunes a viernes de 09:00 a 18:00hrs.

*Sueldo: 

A definir de acuerdo con conocimiento + Vales de despensa + Fondo de Ahorro + Prestaciones de Ley. Contrato por tiempo indefinido."
Desarrollador de software jr,https://www.occ.com.mx/empleos/de-software-developer/en-Mexico/?page=1&jobid=18406074,"Descripción
Movilidad ZYNCH , marca Mexicana con mayor experiencia en el mercado de motos eléctricas que te brindan una experiencia de conducción única y sostenible, por expansión , solicitamos:

DESARROLLADOR DE SOFTWARE JR

Requisito:
Licenciatura terminada en Ingeniería en Sistemas o afín.
Experiencia mínima de 3 años en lenguajes de programación y frameworks, tales como Javascript (ES6), Node Js, Express, Vue JS, MongoDB como base de datos.
Ingles intermedio - avanzado
Experiencia en creación y consumo de Web Services JSON.
Experiencia en desarrollo y mantenimiento de aplicaciones móviles Android y iOS usando Kotlin y Swift respectivamente.
Experiencia en gestión de proveedores , negociación.
Manejo de herramientas informáticas.
Desarrollo de aplicaciones Web y dispositivos móviles (Android y IOS).

Actividades:
Administración y mantenimiento de sistema interno ADMIN ZYNCH
Alta y modificación de usuarios.
Asociación de vehículos con usuarios.
Gestión de planes para los vehículos.
Obtención de información avanzada por parte de la Dirección con reportes.
Corrección de bugs.
Mantenimiento de MIDDLEWARE para comunicar aplicaciones internas
Verificar endpoints retornen la información correcta.
Contacto con proveedor para solicitar cambios en la API que se consume.
Generación de nuevos endpoints.
Responsable del mantenimiento de nuestro sitio web.
Hacer cambios en el diseño en la página web.
Añadir o quitar funcionalidades en base a lo que se requiera.
Responsable de automatizar procesos dentro del área por medio de sistemas.

Ofrecemos:
Sueldo mensual bruto en base a experiencia.
Pagos quincenales puntuales ,vía nómina.
Seguro social e Infonavit desde el primer día, cotizando al 100% con salario real.
Beneficios Superiores:
Vacaciones superiores a las que marca la ley.
Prima vacacional al 60%
Aguinaldo de 30 días.
Días de descanso adicionales .
Seguro de Vida desde el primer día.
Caja de ahorro.
Reparto de Utilidades.
Campaña de Salud y visuales.
Estabilidad laboral.
Eventos sociales , deportivos , festejos de cumpleaños , entre otros ...

Jornada Laboral: Lunes a Viernes de 8am a 6pm , dos días presenciales y el resto de manera remota."
Programador de Software (PLC),https://www.occ.com.mx/empleos/de-software-developer/en-Mexico/?page=1&jobid=18397242,"Descripción
? Programación de Mtto preventivos y Correctivos a líneas de producción.
? Coordinación de Personal Técnico y Externo en Planta.
? Coordinación y planeación de Proyectos (Pokayokes, Head count).
? Programación de Robots.
? Programación de PLC Siemens, Mitsubishi y Allen Bradley.
? Mantenimiento CNC con control Fanuc y Siemens.
? Seguimiento Órdenes de Trabajo, SAP, EWO.

? Inglés intermedio – avanzado (conversacional)
? Esquema presencial (Apodaca, Nuevo León) lunes a viernes 8:00am-5:00pm.
? Periodo de prueba de 90 días, automáticamente el contrato se convierte en tiempo indeterminado, cotizando al 100% en el IMSS. • Programa de crecimiento según antigüedad laboral. • Prestaciones de ley. • Capacitaciones en Italia y EU.
? Escolaridad Pasantes o Titulados.
? VISA y Pasaporte indispensable.
? 3 años de experiencia en automatización y sector automotriz."
Desarrollador Java - Software,https://www.occ.com.mx/empleos/de-software-developer/en-Mexico/?page=1&jobid=18404051,"Descripción
DESARROLLADOR DE SOFTWARE

REQUISITOS:

Escolaridad:Licenciatura Ing. Sistemas Computacionales, Ing. informática o afín.
Experiencia: 2 años en desarrollo de software
Conocimiento de las etapas del desarrollo: análisis, desarrollo, prueba, implementación, documentación.

Conocimientos:
-Java version 7 u 8
-Linux - Intermedio
-KUBERNETES / DOCKER
-Desarrollo de Microservicios
-Spring / MVC
-Creación y consumo de servicios REST
-Hibernate
-GIT

Actividades:
Codificación desarrollo de software
Reingeneria de servicios
Despliegue de microservicios
Ejecución de pruebas unitarias

Ofrecemos
·Contratación Directa por la empresa
·Esquema 100% nominal
·Estabilidad
·Prestaciones de ley y superiores
·Sueldo: $38,000 brutos mensuales

Interesados postularse por este medio"
Desarrollador de Software (Java/.NET),https://www.occ.com.mx/empleos/de-software-developer/en-Mexico/?page=1&jobid=18402297,"Descripción
Descripción:
Ingeniero de Sistemas computacionales, o un campo relacionado. Desarrollador de Software responsable de contribuir al desarrollo, implementación y mantenimiento de aplicaciones utilizando tecnologías Java y .NET, así como de trabajar con bases de datos Oracle.

Responsabilidades:
·      Diseñar, desarrollar, probar e implementar soluciones de software eficientes y escalables utilizando Java y/o .NET.
·      Colaborar con el equipo de desarrollo para diseñar arquitecturas de software sólidas y elegantes.
·      Desarrollar y mantener consultas SQL, procedimientos almacenados y funciones en bases de datos Oracle.
·      Participar en la resolución de problemas técnicos y en la optimización del rendimiento del sistema.
·      Documentar el código y los procesos de manera clara y concisa.
·      Mantenerse al día con las mejores prácticas de desarrollo de software y tendencias tecnológicas.
Requisitos:
·      Experiencia sólida en el desarrollo de aplicaciones utilizando Java y/o .NET.
·      Conocimientos profundos de bases de datos Oracle, incluyendo consultas SQL avanzadas y optimización de rendimiento.
·      Capacidad para trabajar en un entorno ágil y colaborativo.
·      Habilidad para comunicarse de manera efectiva tanto con miembros técnicos como no técnicos del equipo.

Deseable:
·      Experiencia previa en el diseño e implementación de sistemas empresariales.
·      Conocimientos básicos de otras tecnologías de bases de datos, como SQL Server o MySQL.
Ofrecemos:
·      Salario competitivo acorde con la experiencia y habilidades del candidato.
·      Oportunidades de desarrollo profesional y crecimiento dentro de la empresa.
·      Un entorno de trabajo colaborativo y dinámico, donde se valora la innovación y el trabajo en equipo."
Desarrollador de software (C PlusPlus),https://www.occ.com.mx/empleos/de-software-developer/en-Mexico/?page=1&jobid=18401586,"Descripción

Simplificamos la vida de las personas con tecnología y queremos que tu seas parte de ese reto constante. Analizamos, diseñamos, desarrollamos, implementamos y operamos tecnología con el mejor talento humano. Nosotros hacemos transformación de negocios.

¿Qué necesitamos?
Desarrollo de aplicativos en C++ (3 años o mas)
Conocimientos avanzado en librerías Boost
Conocimiento en SQL
Conocimiento en diagramas UML
Manejo de patrones de diseño (Singleton, Strategy, etc.)

¿Qué ofrecemos?

Herramientas de trabajo.
Seguro de Gastos Médicos Mayores y Menores
Seguro de Vida
Apoyo de gimnasio, psicólogo y nutriólogo
Aguinaldo 30 días.
Modalidad hibrida, 3 días en oficina en el poniente de la CDMX

Y más."
Desarrollador fullstack,https://www.occ.com.mx/empleos/de-software-developer/en-Mexico/?page=1&jobid=18409224,"Descripción
Descripción
AZKAIT es una empresa Mexicana que busca y conecta el mejor talento IT con empresas Latinoamericanas y de Estados Unidos.

Estamos en la búsqueda de tu talento como Desarrollador fullstack.

Requerimientos
4 años con el lenguaje:
Java 1.8.
Spring Framework + Spring Boot.
SQL Server.
React.
Git.
SCRUM.

?Prestaciones
Superiores(12 días de vacaciones, prima vacacional 30%, 20 días de aguinaldo). 
SGMMayores.
Seguro de vida.
Seguro dental."
Desarrollador Java SR Backend,https://www.occ.com.mx/empleos/de-software-developer/en-Mexico/?page=1&jobid=18409377,"Descripción
DESARROLLADOR JAVA SR - Backend

TRUPER

Somos la empresa más reconocida en Latinoamérica en manufactura, distribución y comercialización de herramientas y productos para todos los segmentos de la industria ferretera.

Si estás interesado, envía tu currículum al correo de contacto o mediante WhatsApp al Cincuenta y cinco, veinte, ochenta , veintiséis, noventa y uno y te contactamos para que se te hagan los filtros y te integres lo más pronto posible con nosotros.

Ofrecemos:

Contrato directo por la empresa
Esquema 100% nominal
No es por proyecto
Prestaciones superiores de ley
Desarrollo profesional
Estabilidad laboral

Experiencia:

JAVA 8
Spring boot
DESEABLE React (FRONT END) / Angular
JWT
Hibernate / JPA
DESEABLE Rabbit
ORACLE
SQL Server
DESEABLE API Gateway
MAVEN
Patrones de diseño


Truper está comprometido a crear un entorno diverso y se enorgullece de ser un empleador que ofrece igualdad de oportunidades. Todos los solicitantes calificados recibirán consideración para el empleo sin distinción de raza, color, religión, género, identidad o expresión de género, orientación sexual, nacionalidad, genética, edad, estado de discapacidad, estado de veterano o cualquier otra característica protegida por las leyes Federales, Nacionales, locales."
Desarrollador Front end Angular JR,https://www.occ.com.mx/empleos/de-software-developer/en-Mexico/?page=1&jobid=18409667,"Descripción
En Lumina Software tenemos una oportunidad laboral para ti!

Envíanos tu CV actualizado y te contactaremos de inmediato.


Desarrollador Front end Angular -JR

Perfil requerido:

Experiencia en:

Angular versión 16
TypeScript"
Desarrollador JAVA 8,https://www.occ.com.mx/empleos/de-software-developer/en-Mexico/?page=1&jobid=18406197,"Descripción
Global Hitss empresa de soluciones digitales parte de Grupo Carso se encuentra en búsqueda de:


Desarrollador Java:


Requisitos (3 años de experiencia)

Programación Java 8 y versiones superiores (Adopt Open JDK y Oracle Java).
Manejo de tecnología Web Service con micro servicios
Manejo en Framework (Spring), SOA, REST, esto es esencial.
Ensamblar y manejo de componentes JAR y WAR para acoplarlos al WebServices
Conocimiento en conexión a base de datos
Conocimiento y dominio de SonarQube para escaneo de código desarrollado e implementación de mejores prácticas.
Conocimiento de algún versionado de código, preferente Git.
Acoplar librerías de sistema operativo Linux y Windows.

Ofrecemos:

Contrato 100% nómina + Prestaciones de ley y algunas superiores

Modalidad de trabajo híbrida

Zona de trabajo : Polanco


Interesados postularse por este medio"
